vm_name,host_name,cluster_name,vm_power_state,vm_memory,vm_max_memory_usage,vm_cpu,vm_max_cpu_usage,percentage_memory,vm_vgpu_memory_mb,random_vgpu_memory,percentage_vgpu,percentage_cpu
ARLQ-PLA-001464,hyp-140.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,17600,1,16384,10012,0,0
ARLQ-PLA-001329,hyp-141.x.omega.nebula,ECOM-01,poweredOff,16384,0,8,0,0,8192,2677,0,0
ARLQ-PLA-001329,hyp-141.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,17600,1,8192,10,0,0
ARLQ-PLA-001373,hyp-141.x.omega.nebula,ECOM-01,poweredOff,16384,4096,8,5590,0,16384,5477,0,0
ARLQ-PLA-001274,hyp-141.x.omega.nebula,ECOM-01,poweredOff,16384,16384,8,22360,1,16384,878,0,0
ARLQ-PLA-001404,hyp-140.x.omega.nebula,ECOM-01,poweredOff,16384,0,8,0,0,16384,5908,0,0
ARLQ-PLA-001307,hyp-141.x.omega.nebula,ECOM-01,poweredOff,16384,16384,8,22360,1,16384,4613,0,0
ARLQ-PLA-001386,hyp-140.x.omega.nebula,ECOM-01,poweredOff,16384,0,8,0,0,16384,9670,0,0
ARLQ-PLA-001359,hyp-141.x.omega.nebula,ECOM-01,poweredOff,16384,0,8,0,0,16384,8903,0,0
ARLQ-PLA-001282,hyp-141.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,22360,1,16384,2499,0,0
ARLQ-PLA-001271,hyp-141.x.omega.nebula,ECOM-01,poweredOff,16384,0,8,0,0,16384,1047,0,0
ARLQ-PLA-001279,hyp-141.x.omega.nebula,ECOM-01,poweredOff,16384,16384,4,11180,1,4096,821,0,0
ARLQ-PLA-001303,hyp-141.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,22360,1,16384,2017,0,0
ARLQ-PLA-001327,hyp-141.x.omega.nebula,ECOM-01,poweredOff,16384,16384,4,11180,1,4096,638,0,0
ARLQ-PLA-001406,hyp-140.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,22360,1,16384,13539,0,0
ARLQ-PLA-001475,hyp-141.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,17600,1,16384,4492,0,0
ARLQ-PLA-001471,hyp-141.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,17600,1,16384,14586,0,0
ARLQ-PLA-001417,hyp-140.x.omega.nebula,ECOM-01,poweredOn,16384,16384,4,8800,1,4096,3318,0,0
ARLQ-PLA-001455,hyp-140.x.omega.nebula,ECOM-01,poweredOff,16384,0,8,0,0,16384,15135,0,0
ARLQ-PLA-001338,hyp-141.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,22360,1,16384,7836,0,0
ARLQ-PLA-001413,hyp-141.x.omega.nebula,ECOM-01,poweredOff,16384,16384,4,8800,1,4096,3751,0,0
